0 1898 2
0 7036 2
0 4926 2
0 7484 2
0 7536 2
0 4976 2
0 6907 2
0 9885 2
0 8328 2
0 3302 2
0 1477 2
0 2601 2
0 1891 2
0 5146 2
0 71 2
0 6387 2
0 6412 2
0 3541 2
0 8396 2
0 9810 2
0 207 2
0 1518 2
0 8109 2
0 6939 2
0 398 2
0 663 2
0 1389 2
0 6632 2
0 2604 2
0 458 2
0 9127 2
0 5657 2
0 290 2
0 8528 2
0 9790 2
0 6697 2
0 3413 2
0 9179 2
0 5113 2
0 7229 2
0 3239 2
0 8909 2
0 838 2
0 5427 2
0 3600 2
0 2432 2
0 3463 2
0 7885 2
0 6134 2
0 585 2
0 3634 1
0 2842 1
0 8477 1
1 84 2
1 2303 1
2 6985 2
2 160 2
2 1175 2
2 4898 2
2 9097 2
2 3302 2
2 1575 2
2 5486 2
2 7909 2
2 3341 2
2 7336 2
2 8504 2
2 1227 2
2 6050 1
2 3337 1
3 9029 2
3 544 1
3 4666 1
3 6766 1
4 2736 2
4 4520 2
4 9182 2
4 8141 2
4 2093 2
4 2491 1
4 5838 1
4 3063 1
4 4160 1
5 9180 2
5 325 2
5 6770 2
5 152 2
5 3327 2
5 6679 2
5 367 2
5 1549 2
5 3966 2
5 8586 2
5 8164 2
5 8638 2
5 2971 1
6 2997 2
6 4087 2
6 6487 2
6 3363 2
6 1767 2
6 721 2
6 4047 2
6 4026 2
6 591 2
6 9952 2
6 3090 2
6 248 2
6 4170 2
6 1319 2
6 2874 2
6 3997 2
6 3738 2
6 9919 2
6 1435 2
6 2578 1
7 2337 2
7 7373 2
7 5091 2
7 1176 2
7 6515 2
7 9591 1
7 280 1
7 6167 1
7 818 1
8 7046 2
9 3318 2
9 5020 2
9 3971 2
9 5503 2
9 5051 2
9 6385 2
9 914 2
9 8806 1
9 9494 1
9 624 1
10 6180 2
10 4617 2
10 757 2
10 882 2
10 5552 2
10 5683 1
11 7041 2
11 4817 2
11 4788 2
11 1076 2
11 2220 2
11 144 2
11 7204 2
11 8381 2
11 7663 1
12 7951 2
12 2483 2
12 5689 2
12 3316 2
12 6608 2
12 9471 2
12 3772 2
12 1374 2
12 2112 2
12 1478 2
12 1397 2
12 5643 1
12 7180 1
13 4134 2
13 5557 2
13 3776 2
13 6696 2
13 7924 2
13 2287 2
13 1911 2
13 2111 2
13 2772 1
14 843 2
14 423 1
14 2180 1
14 602 1
14 3802 1
15 2172 2
15 8402 2
15 517 2
15 5462 2
15 8369 2
15 5374 2
15 4058 2
15 652 2
15 5353 1
15 625 1
16 1365 2
16 4976 2
16 6518 2
16 9979 2
16 3709 2
16 3346 2
16 1137 2
16 984 2
16 7889 1
16 2302 1
17 6660 2
17 2993 2
17 2786 2
17 3647 2
17 4208 2
17 8105 2
17 9167 2
17 6223 1
18 4306 2
18 6341 2
18 9321 2
18 5520 2
18 7062 2
18 69 2
18 635 2
18 6949 2
18 8801 2
18 4853 2
18 1459 2
